week,value,parameter,percentile,paper
12.0,0.00896605732715816,AC_FL,50,Combs (1993)
13.0,0.006386212989040057,AC_FL,50,Combs (1993)
14.0,0.0017238501101076822,AC_FL,50,Combs (1993)
15.0,0.003069092320983024,AC_FL,50,Combs (1993)
16.0,0.003120739308341833,AC_FL,50,Combs (1993)
17.0,0.0025323425721069897,AC_FL,50,Combs (1993)
18.0,0.001147020153595798,AC_FL,50,Combs (1993)
19.0,0.0010552123158396815,AC_FL,50,Combs (1993)
20.0,0.0017625040325268185,AC_FL,50,Combs (1993)
21.0,0.0017404683658584857,AC_FL,50,Combs (1993)
22.0,0.0016711871256010053,AC_FL,50,Combs (1993)
23.0,0.0013296331842370338,AC_FL,50,Combs (1993)
24.0,0.0011447344456809155,AC_FL,50,Combs (1993)
25.0,0.0010942592410653118,AC_FL,50,Combs (1993)
26.0,0.0009879398731211467,AC_FL,50,Combs (1993)
27.0,0.0010250061234099302,AC_FL,50,Combs (1993)
28.0,0.0009488031904818042,AC_FL,50,Combs (1993)
29.0,0.0008813274666063895,AC_FL,50,Combs (1993)
30.0,0.0008761343854947603,AC_FL,50,Combs (1993)
31.0,0.0008833084326623324,AC_FL,50,Combs (1993)
32.0,0.0007821204933799718,AC_FL,50,Combs (1993)
33.0,0.0007413906282153883,AC_FL,50,Combs (1993)
34.0,0.0006868856249988536,AC_FL,50,Combs (1993)
35.0,0.0007487491183265762,AC_FL,50,Combs (1993)
36.0,0.0007189634696639699,AC_FL,50,Combs (1993)
37.0,0.0007827193052490733,AC_FL,50,Combs (1993)
38.0,0.0008463105737926192,AC_FL,50,Combs (1993)
39.0,0.0008127056062569898,AC_FL,50,Combs (1993)
40.0,0.000897577710325193,AC_FL,50,Combs (1993)
41.0,0.0005317207285924102,AC_FL,50,Combs (1993)
42.0,0.0006660569941134422,AC_FL,50,Combs (1993)
43.0,0.005196300193445855,AC_FL,50,Combs (1993)
44.0,0.003648349228451141,AC_FL,50,Combs (1993)
10.0,-8.218771080980108e-6,AC_HC,50,Combs (1993)
11.0,-1.2054962794870241e-5,AC_HC,50,Combs (1993)
12.0,-1.7087822070974882e-5,AC_HC,50,Combs (1993)
13.0,-2.4089246017505886e-5,AC_HC,50,Combs (1993)
14.0,-3.3847733346331174e-5,AC_HC,50,Combs (1993)
15.0,-4.088837964942476e-5,AC_HC,50,Combs (1993)
16.0,-4.461486364841845e-5,AC_HC,50,Combs (1993)
17.0,-4.749960495630404e-5,AC_HC,50,Combs (1993)
18.0,-5.865862558250178e-5,AC_HC,50,Combs (1993)
19.0,-6.183272856293402e-5,AC_HC,50,Combs (1993)
20.0,-6.528559504508032e-5,AC_HC,50,Combs (1993)
21.0,-6.792383271487006e-5,AC_HC,50,Combs (1993)
22.0,-7.186306746147957e-5,AC_HC,50,Combs (1993)
23.0,-7.633351137478975e-5,AC_HC,50,Combs (1993)
24.0,-7.950221658231247e-5,AC_HC,50,Combs (1993)
25.0,-8.028769155675301e-5,AC_HC,50,Combs (1993)
26.0,-8.243065590594442e-5,AC_HC,50,Combs (1993)
27.0,-8.652516754007723e-5,AC_HC,50,Combs (1993)
28.0,-8.668314478128362e-5,AC_HC,50,Combs (1993)
29.0,-9.163626220765807e-5,AC_HC,50,Combs (1993)
30.0,-8.816918728358866e-5,AC_HC,50,Combs (1993)
31.0,-9.171818040868971e-5,AC_HC,50,Combs (1993)
32.0,-9.288281246933699e-5,AC_HC,50,Combs (1993)
33.0,-9.38851250099285e-5,AC_HC,50,Combs (1993)
34.0,-9.605804009506631e-5,AC_HC,50,Combs (1993)
35.0,-9.629571421395096e-5,AC_HC,50,Combs (1993)
36.0,-9.682915368486986e-5,AC_HC,50,Combs (1993)
37.0,-9.555908940142323e-5,AC_HC,50,Combs (1993)
38.0,-9.634923033126046e-5,AC_HC,50,Combs (1993)
39.0,-9.627791839338925e-5,AC_HC,50,Combs (1993)
40.0,-9.379068151675882e-5,AC_HC,50,Combs (1993)
41.0,-0.000106624105915922,AC_HC,50,Combs (1993)
42.0,-9.140391909386928e-5,AC_HC,50,Combs (1993)
43.0,-4.434581158890974e-5,AC_HC,50,Combs (1993)
44.0,-5.555904763902341e-5,AC_HC,50,Combs (1993)
10.0,-2.9806486316995664e-6,FL_HC,50,Combs (1993)
11.0,-4.459070099817178e-6,FL_HC,50,Combs (1993)
12.0,-6.583179621200855e-6,FL_HC,50,Combs (1993)
